epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1119,2.21352,5.62369,2.32806,0.00328,0.825,0.18006,0.07088,1.94257,5.61761,2.66154,0.00016,0.00016,0.00016
2,20.1054,1.84833,4.4974,2.04488,0.00313,0.7875,0.13661,0.05282,1.94211,5.93877,2.50562,0.000338317,0.000338317,0.000338317
3,26.8263,1.71494,4.05433,1.93431,0.00318,0.8,0.15345,0.06639,2.27872,5.86809,3.23444,0.000514852,0.000514852,0.000514852
4,32.8494,1.80939,3.8969,1.92368,0.35141,0.0125,0.14842,0.06755,2.01407,5.65327,2.67797,0.000689605,0.000689605,0.000689605
5,39.7361,1.79187,3.48599,1.95846,0.13188,0.0375,0.03323,0.0111,2.2996,6.2395,2.97547,0.000862576,0.000862576,0.000862576
6,45.7474,1.82807,3.36105,1.99465,0.12869,0.125,0.0656,0.02227,2.07803,4.97022,2.93727,0.00103377,0.00103377,0.00103377
7,52.2618,1.75143,3.06779,1.90597,0.13472,0.1674,0.07203,0.02965,2.24376,5.32937,3.01284,0.00120317,0.00120317,0.00120317
8,58.1281,1.71252,2.94302,1.85923,0.18698,0.0625,0.0298,0.00897,2.58995,4.81801,3.48751,0.0013708,0.0013708,0.0013708
9,64.5238,1.78432,2.94064,2.00032,0.22428,0.0625,0.04281,0.01506,2.98621,4.38452,3.51349,0.00153664,0.00153664,0.00153664
10,70.3537,1.74117,2.67379,1.90382,0.13518,0.1,0.05839,0.02288,2.74931,4.50613,3.14994,0.0017007,0.0017007,0.0017007
11,76.6969,1.71615,2.58931,1.86319,0.22313,0.225,0.14753,0.05508,2.27349,7.77619,3.361,0.00186298,0.00186298,0.00186298
12,82.5511,1.81418,2.49181,1.95176,0.33464,0.1125,0.10574,0.04488,2.61174,14.1828,3.46195,0.0018911,0.0018911,0.0018911
13,88.8684,1.75004,2.42903,1.90062,0.21811,0.125,0.0863,0.02564,2.53107,10.0548,3.35698,0.0018812,0.0018812,0.0018812
14,94.6386,1.77778,2.4152,1.92776,0.18308,0.2125,0.10814,0.03423,2.10082,7.05052,2.76136,0.0018713,0.0018713,0.0018713
15,100.954,1.70857,2.28642,1.91234,0.17351,0.1125,0.04142,0.01932,2.43967,7.83938,3.04483,0.0018614,0.0018614,0.0018614
16,106.733,1.76245,2.10887,1.89399,0.15319,0.175,0.08397,0.03208,2.81263,5.54166,3.45328,0.0018515,0.0018515,0.0018515
17,113.094,1.71234,2.03604,1.82649,0.09835,0.1875,0.0482,0.01576,2.43063,12.6215,2.98726,0.0018416,0.0018416,0.0018416
18,118.927,1.72801,1.98491,1.84531,0.13049,0.15,0.07758,0.02555,2.21746,6.38071,2.72744,0.0018317,0.0018317,0.0018317
19,125.224,1.7523,1.99951,1.88674,0.0859,0.2,0.05005,0.01662,2.38383,5.61384,3.116,0.0018218,0.0018218,0.0018218
20,131.023,1.72986,1.93978,1.85746,0.25483,0.225,0.15705,0.05244,2.13699,5.32517,2.71682,0.0018119,0.0018119,0.0018119
21,137.473,1.72595,1.9198,1.86975,0.24091,0.3,0.18661,0.06171,2.07608,4.45892,2.8924,0.001802,0.001802,0.001802
22,143.217,1.65302,1.72622,1.76429,0.25908,0.1875,0.12981,0.05201,2.13627,3.27637,2.71665,0.0017921,0.0017921,0.0017921
23,149.635,1.59719,1.63996,1.74789,0.33621,0.375,0.31005,0.12448,1.81576,2.19944,2.23379,0.0017822,0.0017822,0.0017822
24,155.468,1.64851,1.63423,1.76801,0.62015,0.325,0.42017,0.14921,2.1898,2.92948,2.64719,0.0017723,0.0017723,0.0017723
25,162.016,1.60485,1.60959,1.72653,0.33695,0.3375,0.27314,0.10386,2.26041,3.02195,2.73231,0.0017624,0.0017624,0.0017624
26,167.751,1.60478,1.54207,1.76485,0.40722,0.3875,0.37614,0.14283,2.2659,2.46309,2.83245,0.0017525,0.0017525,0.0017525
27,174.149,1.59729,1.48778,1.76713,0.62257,0.275,0.39912,0.13617,2.10221,2.99001,2.77183,0.0017426,0.0017426,0.0017426
